,PubChem_pattern,SMARTS,images
0,Li-H,[#3]~[#1],../data/pubchemfp_pattern_images/0.png
1,Li-Li,[#3]~[#3],../data/pubchemfp_pattern_images/1.png
2,Li-B,[#3]~[#5],../data/pubchemfp_pattern_images/2.png
3,Li-C,[#3]~[#6],../data/pubchemfp_pattern_images/3.png
4,Li-O,[#3]~[#8],../data/pubchemfp_pattern_images/4.png
5,Li-F,[#3]~F,../data/pubchemfp_pattern_images/5.png
6,Li-P,[#3]~P,../data/pubchemfp_pattern_images/6.png
7,Li-S,[#3]~S,../data/pubchemfp_pattern_images/7.png
8,Li-Cl,[#3]~[#17],../data/pubchemfp_pattern_images/8.png
9,B-H,[#5]~[#1],../data/pubchemfp_pattern_images/9.png
10,B-B,[#5]~[#5],../data/pubchemfp_pattern_images/10.png
11,B-C,[#5]~[#6],../data/pubchemfp_pattern_images/11.png
12,B-N,[#5]~[#7],../data/pubchemfp_pattern_images/12.png
13,B-O,[#5]~[#8],../data/pubchemfp_pattern_images/13.png
14,B-F,[#5]~F,../data/pubchemfp_pattern_images/14.png
15,B-Si,[#5]~[#14],../data/pubchemfp_pattern_images/15.png
16,B-P,[#5]~P,../data/pubchemfp_pattern_images/16.png
17,B-S,[#5]~S,../data/pubchemfp_pattern_images/17.png
18,B-Cl,[#5]~[#17],../data/pubchemfp_pattern_images/18.png
19,B-Br,[#5]~[#35],../data/pubchemfp_pattern_images/19.png
20,C-H,[#6]~[#1],../data/pubchemfp_pattern_images/20.png
21,C-C,[#6]~[#6],../data/pubchemfp_pattern_images/21.png
22,C-N,[#6]~[#7],../data/pubchemfp_pattern_images/22.png
23,C-O,[#6]~[#8],../data/pubchemfp_pattern_images/23.png
24,C-F,[#6]~F,../data/pubchemfp_pattern_images/24.png
25,C-Na,[#6]~[#11],../data/pubchemfp_pattern_images/25.png
26,C-Mg,[#6]~[#12],../data/pubchemfp_pattern_images/26.png
27,C-Al,[#6]~[#13],../data/pubchemfp_pattern_images/27.png
28,C-Si,[#6]~[#14],../data/pubchemfp_pattern_images/28.png
29,C-P,[#6]~P,../data/pubchemfp_pattern_images/29.png
30,C-S,[#6]~S,../data/pubchemfp_pattern_images/30.png
31,C-Cl,[#6]~[#17],../data/pubchemfp_pattern_images/31.png
32,C-As,[#6]~[#33],../data/pubchemfp_pattern_images/32.png
33,C-Se,[#6]~[#34],../data/pubchemfp_pattern_images/33.png
34,C-Br,[#6]~[#35],../data/pubchemfp_pattern_images/34.png
35,C-I,[#6]~I,../data/pubchemfp_pattern_images/35.png
36,N-H,[#7]~[#1],../data/pubchemfp_pattern_images/36.png
37,N-N,[#7]~[#7],../data/pubchemfp_pattern_images/37.png
38,N-O,[#7]~[#8],../data/pubchemfp_pattern_images/38.png
39,N-F,[#7]~F,../data/pubchemfp_pattern_images/39.png
40,N-Si,[#7]~[#14],../data/pubchemfp_pattern_images/40.png
41,N-P,[#7]~P,../data/pubchemfp_pattern_images/41.png
42,N-S,[#7]~S,../data/pubchemfp_pattern_images/42.png
43,N-Cl,[#7]~[#17],../data/pubchemfp_pattern_images/43.png
44,N-Br,[#7]~[#35],../data/pubchemfp_pattern_images/44.png
45,O-H,[#8]~[#1],../data/pubchemfp_pattern_images/45.png
46,O-O,[#8]~[#8],../data/pubchemfp_pattern_images/46.png
47,O-Mg,[#8]~[#12],../data/pubchemfp_pattern_images/47.png
